All 182 accesspoints
                                 0 F             1 F             2 F             3 F         4 Other
   00:1a:1e:22:aa:31               -               -               -               -          -74.69
   00:1a:1e:22:aa:32               -               -               -               -          -74.35
   00:24:6c:5e:c8:53           -84.1          -85.13          -85.47          -87.13          -82.47
   00:0f:66:8a:28:4a          -75.37          -70.97          -74.43           -74.0          -88.86
   00:1a:1e:22:a7:d2               -               -               -               -          -81.17
   00:1a:1e:22:a7:d1               -               -               -               -          -80.53
   00:1a:1e:22:a7:d0               -               -               -               -          -78.43
   00:24:6c:5c:01:22           -70.8          -67.73           -68.4          -66.53          -87.79
   00:24:6c:5c:01:21          -67.03           -66.3          -69.17          -67.93           -64.0
   00:24:6c:d2:9a:20          -74.07          -69.53          -69.53           -68.8          -87.05
   00:24:6c:d2:9a:21          -74.83           -71.6          -69.73          -72.13          -84.77
   00:24:6c:d2:9a:22          -73.83           -72.3           -69.3          -70.47          -86.06
   00:24:6c:5c:01:20          -65.47          -70.57          -67.87          -65.97           -88.0
   00:24:6c:60:d5:02               -               -               -               -          -88.21
   00:24:6c:60:d5:01               -               -               -               -          -89.45
   00:24:6c:60:ca:13          -89.85          -90.18          -90.33          -90.25               -
   00:24:6c:60:ca:12          -89.88          -90.61          -90.04           -90.6           -91.0
   00:24:6c:60:ca:11          -89.86               -               -               -               -
   00:24:6c:60:ca:10               -               -           -91.0               -               -
   00:24:6c:d2:98:01          -85.05          -84.11          -88.64          -87.18           -87.0
   00:24:6c:d2:98:00           -84.1          -84.72          -88.09          -85.57           -85.0
   00:24:6c:d2:98:02           -85.0          -86.54           -88.0          -87.45               -
          Total Macs             117             119             117             108             149
Comparing 91 common mac addresses of 182 unique
                  0 F        1 F        2 F        3 F    4 Other
0 F               0.0       0.63        4.0       1.48        0.9
1 F              0.63        0.0       3.37       0.85       0.28
2 F               4.0       3.37        0.0       2.52       3.09
3 F              1.48       0.85       2.52        0.0       0.57
4 Other           0.9       0.28       3.09       0.57        0.0


Average Table:
       0.0       0.63        4.0       1.48        0.9
      0.63        0.0       3.37       0.85       0.28
       4.0       3.37        0.0       2.52       3.09
      1.48       0.85       2.52        0.0       0.57
       0.9       0.28       3.09       0.57        0.0
