All 89 accesspoints
                             2 Pulls        10 Pulls        30 Pulls        60 Pulls       100 Pulls
   00:24:6c:5c:02:e2               -               -               -           -91.0           -91.0
   00:24:6c:5c:02:e1               -               -               -           -92.5           -92.5
   00:24:6c:5c:02:e0               -               -               -           -91.0           -91.0
   00:24:6c:5e:c7:33          -83.33          -82.91          -83.13          -83.62          -83.35
   00:24:6c:5e:c7:32          -83.33          -82.64           -83.0          -83.56          -83.27
   00:24:6c:5e:c7:31          -83.33          -82.73          -82.84           -83.1          -82.78
   00:24:6c:5e:c7:30           -83.0          -82.33          -83.19          -84.02          -83.79
   00:0f:66:8a:28:4a           -80.0           -80.0           -80.0           -80.0           -80.0
   00:24:6c:60:cb:a2          -78.67          -80.73          -79.03          -77.41          -76.86
   00:24:6c:60:cb:a0          -78.33          -80.18          -79.19          -77.84          -77.48
   00:24:6c:60:cb:a1          -78.33          -79.91          -78.68          -77.26          -76.96
   00:24:6c:d2:9a:32           -70.0           -70.0           -70.0           -70.0           -70.0
   00:24:6c:d2:9a:31           -70.0           -70.0          -88.86          -88.86          -88.86
   00:24:6c:d2:9a:20           -70.0           -70.0           -70.0           -70.0           -70.0
   00:24:6c:d2:9a:21           -89.0           -89.0           -89.0           -90.8          -90.86
   00:24:6c:d2:9a:22           -70.0           -70.0           -70.0           -70.0           -70.0
   00:24:6c:d2:98:01           -83.0           -83.0           -83.0           -83.0           -83.0
          Total Macs              87              93              98             102             102
Comparing 87 common mac addresses of 102 unique
              2 Pulls   10 Pulls   30 Pulls   60 Pulls  100 Pulls
2 Pulls           0.0        0.0        0.0        0.0        0.0
10 Pulls          0.0        0.0        0.0        0.0        0.0
30 Pulls          0.0        0.0        0.0        0.0        0.0
60 Pulls          0.0        0.0        0.0        0.0        0.0
100 Pulls         0.0        0.0        0.0        0.0        0.0

All 83 accesspoints
                             2 Pulls        10 Pulls        30 Pulls        60 Pulls       100 Pulls
   00:24:6c:5d:9e:61           -90.0           -90.0           -90.0           -91.0          -88.75
   00:24:6c:5d:9e:60               -               -               -               -           -89.0
   00:0e:8e:4f:ac:6b           -86.0          -87.09          -87.35          -88.25          -88.52
   00:24:6c:d2:99:40           -87.0           -88.0          -88.33          -88.36          -88.59
   00:24:6c:60:c8:42               -           -91.5           -88.0          -87.45          -87.52
   00:24:6c:60:c8:41               -               -          -86.33           -86.0          -86.22
   00:24:6c:60:c8:40           -88.0           -88.0          -86.25          -86.88          -86.58
   00:24:6c:5e:c8:21           -79.5           -80.0          -79.93          -79.62          -79.82
   00:24:6c:5c:02:30          -53.67          -54.45          -54.37          -54.92           -55.2
   00:24:6c:5e:c7:22               -               -          -87.57          -87.88          -87.79
